2018/03/06 03:04:37 socat[22146] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22148] E write(6, 0x561b1ef4b700, 726): Broken pipe
2018/03/06 03:04:37 socat[22150] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22152] E write(6, 0x561b1ef4b700, 672): Broken pipe
2018/03/06 03:04:37 socat[22154] E write(6, 0x561b1ef4b700, 825): Broken pipe
2018/03/06 03:04:37 socat[22156] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22158] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22160] E write(6, 0x561b1ef4b700, 594): Broken pipe
2018/03/06 03:04:37 socat[22162] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22164] E write(6, 0x561b1ef4b700, 14): Broken pipe
2018/03/06 03:04:37 socat[22166] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22168] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22170] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22172] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22174] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22176] E write(6, 0x561b1ef4b700, 13): Broken pipe
2018/03/06 03:04:37 socat[22178] E write(6, 0x561b1ef4b700, 396): Broken pipe
2018/03/06 03:04:37 socat[22180] E write(6, 0x561b1ef4b700, 616): Broken pipe
2018/03/06 03:04:37 socat[22182] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22184] E write(6, 0x561b1ef4b700, 660): Broken pipe
2018/03/06 03:04:37 socat[22186] E write(6, 0x561b1ef4b700, 627): Broken pipe
2018/03/06 03:04:37 socat[22188] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22190] E write(6, 0x561b1ef4b700, 624): Broken pipe
2018/03/06 03:04:37 socat[22192] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22194] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22196] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22198] E write(6, 0x561b1ef4b700, 561): Broken pipe
2018/03/06 03:04:37 socat[22200] E write(6, 0x561b1ef4b700, 11): Broken pipe
2018/03/06 03:04:37 socat[22202] E write(6, 0x561b1ef4b700, 616): Broken pipe
